순위,조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%),검증결과메모
808,"양봉4",45.5,187,-5.6,-0.12,
809,"60아래 + 갭하락1 + 음봉1",45.2,199,-5.9,-0.27,
810,"3%하락 + 60아래 + 갭하락1",45.0,171,-6.1,-0.16,
811,"20위 + 양봉1 + 양봉4",44.8,165,-6.3,-0.18,
812,"20위 + 양봉2 + 양봉4",44.8,165,-6.3,-0.18,
813,"20위 + 양봉3 + 양봉4",44.8,165,-6.3,-0.18,
814,"20위 + 양봉4",44.8,165,-6.3,-0.18,
815,"60아래 + 갭하락1 + 고변동5",44.4,171,-6.7,-0.18,
816,"거래량1.5 + 양봉1",43.8,210,-7.3,-0.05,
817,"60위 + 거래량1.5 + 양봉1",43.7,151,-7.4,-0.22,
818,"20위 + 거래량1.5 + 양봉1",41.1,163,-10.0,-0.36,
